Code,Name,Market,Marcap
005930,삼성전자,KOSPI,1347567219144000
000660,SK하이닉스,KOSPI,1092086085675000
005935,삼성전자우,KOSPI,138088084036300
402340,SK스퀘어,KOSPI,127999634420000
009150,삼성전기,KOSPI,91798552384000
005380,현대차,KOSPI,81903106400000
373220,LG에너지솔루션,KOSPI,80730000000000
207940,삼성바이오로직스,KOSPI,70084499814000
105560,KB금융,KOSPI,60828946381000
032830,삼성생명,KOSPI,57500000000000
012450,한화에어로스페이스,KOSPI,54347824654000
028260,삼성물산,KOSPI,54163972054000
329180,HD현대중공업,KOSPI,53215341075000
000270,기아,KOSPI,52159176532800
055550,신한지주,KOSPI,50418955668600
034020,두산에너빌리티,KOSPI,48938871554400
012330,현대모비스,KOSPI,46092152164000
068270,셀트리온,KOSPI,45347972670000
034730,SK,KOSPI,36903875827000
086790,하나금융지주,KOSPI,36573220808400
035420,NAVER,KOSPI,35469398692000
006400,삼성SDI,KOSPI,34410021310000
010120,LS ELECTRIC,KOSPI,30375000000000
000810,삼성화재,KOSPI,28931562504000
066570,LG전자,KOSPI,28537388577600
009540,HD한국조선해양,KOSPI,28309246400000
042660,한화오션,KOSPI,27791694835800
267260,HD현대일렉트릭,KOSPI,27431869735000
010130,고려아연,KOSPI,25757243746000
005490,POSCO홀딩스,KOSPI,25278047113000
298040,효성중공업,KOSPI,25250875984000
316140,우리금융지주,KOSPI,24391004347000
015760,한국전력,KOSPI,23078608568150
138040,메리츠금융지주,KOSPI,21035552216100
011200,HMM,KOSPI,20185292558000
017670,SK텔레콤,KOSPI,19567373828300
010140,삼성중공업,KOSPI,19448000000000
006800,미래에셋증권,KOSPI,19333035704000
000150,두산,KOSPI,19238275980000
042700,한미반도체,KOSPI,19110096100000
033780,KT&G,KOSPI,18966170311200
051910,LG화학,KOSPI,18424601523000
096770,SK이노베이션,KOSPI,18359132776800
018260,삼성에스디에스,KOSPI,17990338500000
267250,HD현대,KOSPI,17299485615000
035720,카카오,KOSPI,16966174981000
024110,기업은행,KOSPI,16227616434150
003550,LG,KOSPI,15799564418000
064350,현대로템,KOSPI,15738318650600
086280,현대글로비스,KOSPI,15562500000000
079550,LIG디펜스앤에어로스페이스,KOSPI,15444000000000
047810,한국항공우주,KOSPI,14631013560700
278470,에이피알,KOSPI,14151622590000
010950,S-Oil,KOSPI,14061590720800
030200,KT,KOSPI,13483160147500
272210,한화시스템,KOSPI,13243249168900
003670,포스코퓨처엠,KOSPI,13119567450000
011070,LG이노텍,KOSPI,13111577278000
000720,현대건설,KOSPI,12538659139000
307950,현대오토에버,KOSPI,11435800494000
071050,한국금융지주,KOSPI,11368102368000
259960,크래프톤,KOSPI,10611701590000
